14:35:05.286 [main] INFO  com.assignment.fancode.FanCodeSDETTest - IN BASE TEST CLASS
14:35:05.289 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Inside class com.assignment.fancode.FanCodeSDETTest$1
14:35:05.294 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Inside validateCityFanCodeTasks
14:35:06.463 [main] INFO  com.assignment.fancode.FanCodeSDETTest - ************************************************************************
14:35:06.463 [main] INFO  com.assignment.fancode.FanCodeSDETTest - userId=1 userLat=-37.3159 userLng=81.1496
14:35:06.463 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Getting the Todo status of user 1 who is a resident of FanCode city
14:35:06.764 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Total Tasks=0, Completed Tasks=11
14:35:06.764 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Completed Percentage=Infinity
14:35:06.765 [main] INFO  com.assignment.fancode.FanCodeSDETTest - ************************************************************************
14:35:06.765 [main] INFO  com.assignment.fancode.FanCodeSDETTest - userId=2 userLat=-43.9509 userLng=-34.4618
14:35:06.765 [main] INFO  com.assignment.fancode.FanCodeSDETTest - ************************************************************************
14:35:06.765 [main] INFO  com.assignment.fancode.FanCodeSDETTest - userId=3 userLat=-68.6102 userLng=-47.0653
14:35:06.765 [main] INFO  com.assignment.fancode.FanCodeSDETTest - ************************************************************************
14:35:06.765 [main] INFO  com.assignment.fancode.FanCodeSDETTest - userId=4 userLat=29.4572 userLng=-164.299
14:35:06.765 [main] INFO  com.assignment.fancode.FanCodeSDETTest - ************************************************************************
14:35:06.765 [main] INFO  com.assignment.fancode.FanCodeSDETTest - userId=5 userLat=-31.8129 userLng=62.5342
14:35:06.765 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Getting the Todo status of user 5 who is a resident of FanCode city
14:35:07.061 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Total Tasks=0, Completed Tasks=12
14:35:07.061 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Completed Percentage=Infinity
14:35:07.061 [main] INFO  com.assignment.fancode.FanCodeSDETTest - ************************************************************************
14:35:07.061 [main] INFO  com.assignment.fancode.FanCodeSDETTest - userId=6 userLat=-71.4197 userLng=71.7478
14:35:07.061 [main] INFO  com.assignment.fancode.FanCodeSDETTest - ************************************************************************
14:35:07.061 [main] INFO  com.assignment.fancode.FanCodeSDETTest - userId=7 userLat=24.8918 userLng=21.8984
14:35:07.061 [main] INFO  com.assignment.fancode.FanCodeSDETTest - ************************************************************************
14:35:07.061 [main] INFO  com.assignment.fancode.FanCodeSDETTest - userId=8 userLat=-14.399 userLng=-120.7677
14:35:07.062 [main] INFO  com.assignment.fancode.FanCodeSDETTest - ************************************************************************
14:35:07.062 [main] INFO  com.assignment.fancode.FanCodeSDETTest - userId=9 userLat=24.6463 userLng=-168.8889
14:35:07.062 [main] INFO  com.assignment.fancode.FanCodeSDETTest - ************************************************************************
14:35:07.062 [main] INFO  com.assignment.fancode.FanCodeSDETTest - userId=10 userLat=-38.2386 userLng=57.2232
14:35:07.062 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Getting the Todo status of user 10 who is a resident of FanCode city
14:35:07.358 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Total Tasks=0, Completed Tasks=12
14:35:07.358 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Completed Percentage=Infinity
14:35:07.358 [main] INFO  com.assignment.fancode.FanCodeSDETTest - *************************************************************************
14:35:07.361 [main] INFO  com.assignment.fancode.FanCodeSDETTest - Completed class com.assignment.fancode.FanCodeSDETTest$3
